year,disturbance_mortality,disturbance_biomass_removal,variation_mortality,variation_biomass_removal,,Disturbance_Type,default Year,deafult Disturbance_Mortality,deafult Disturbance_Biomass_Removal,deafult sd_mortality,deafult sd_removal,,,,,,,,
1906,0.2,0.8,0,0,,whole_tree,1906,0.2,0.8,0.5,0.25,,0.45,0.7,0.4,0.2,1906,0.2,0.8
1917,0.95,0.8,0,0,,whole_tree,1917,0.95,0.8,0.5,0.25,,0.45,0.7,0.4,0.2,1917,0.59,0.8
1938,0.2,0.4,0,0,,canopy,1938,0.2,0.4,0.5,0.25,,0.2,0.4,0,0,1938,0.2,0.4
1998,0.05,0,0,0,,canopy,1998,0.05,0,0.5,0,,0.04,0,0,0,1998,0.05,0
